YEAR,MAKE,MODEL,CONDITION,TRANSMISSION,CYLINDERS,FUEL,ODOMETER,ENGINE POWER,MILAGE,Price
2008,nissan,frontier,Excellent,Automatic,6,gas,147984,Low CC,31,0
2002,honda,civic,Excellent,Manual,4,gas,174980,High CC,50,0
1995,ford,f350,Excellent,Automatic,8,diesel,363042,Avg CC,46,0
2016,cadillac,ats,Excellent,Automatic,4,gas,18990,High CC,17,0
2018,hyundai,tucson,Excellent,Manual,4,gas,24805,Avg CC,40,0
2005,chevrolet,g3500,Excellent,Automatic,8,gas,152764,Avg CC,6,0
1998,toyota,tacoma,Excellent,Automatic,4,gas,212000,Avg CC,19,0
2017,chevrolet,silverado 1500,Excellent,Automatic,8,gas,28110,Low CC,36,1
2009,gmc,yukon,Excellent,Manual,8,gas,133748,High CC,19,0
2007,gmc,yukon xl,Excellent,Automatic,8,gas,141000,Low CC,43,0
2006,mini,cooper convertible,Excellent,Automatic,4,gas,42400,Low CC,11,0
2013,chrysler,town country,Excellent,Automatic,6,gas,105741,Avg CC,41,0
2012,ram,quad cab slt 4x4,Excellent,Manual,8,gas,115679,Low CC,16,0
2014,volvo,xc60,Excellent,Automatic,6,gas,81502,Avg CC,19,0
2014,gmc,terrain,Excellent,Automatic,4,gas,142783,Avg CC,39,0
2004,chevrolet,tahoe,Excellent,Manual,8,gas,138600,Low CC,19,0
2016,ford,flex limited awd,Excellent,Manual,6,gas,43300,Low CC,29,0
2013,chevrolet,camaro,Excellent,Manual,6,gas,46300,Low CC,24,0
2011,lincoln,mkx,Excellent,Automatic,6,gas,56731,Avg CC,37,0
2010,nissan,rogue sl awd,Excellent,Manual,4,gas,129767,Low CC,37,0
2005,gmc,yukon,Excellent,Manual,8,gas,172803,High CC,5,0
2006,dodge,grand caravan se,Excellent,Manual,6,gas,198,Low CC,12,0
2015,chevrolet,malibu,Excellent,Automatic,4,gas,103099,Avg CC,30,0
2009,hyundai,santa fe,Excellent,Automatic,6,gas,128289,Low CC,24,0
1987,chevrolet,el camino,Excellent,Automatic,8,gas,107000,Avg CC,28,0
2012,subaru,forester 2.5i premium,Excellent,Automatic,4,gas,123551,Avg CC,21,0
2014,subaru,legacy limited awd,Excellent,Manual,4,gas,87474,High CC,17,0
2011,ford,f-350 sd,Excellent,Manual,8,diesel,147105,Avg CC,36,1
2011,ford,f-350 sd,Excellent,Automatic,8,gas,108070,Low CC,37,0
2009,ford,e350 xlt extended van,Excellent,Automatic,8,gas,178195,Low CC,14,0
2018,nissan,titan pro x 4wd,Excellent,Automatic,8,gas,12000,Low CC,47,0
2014,ford,econoline,Excellent,Automatic,8,gas,19886,Avg CC,35,0
1970,dodge,charger,Excellent,Automatic,8,gas,94,Low CC,44,0
2015,nissan,frontier,Excellent,Automatic,6,gas,66600,Low CC,38,0
2015,gmc,sierra 2500hd,Excellent,Automatic,8,diesel,110800,Avg CC,26,1
2007,chevrolet,silverado 1500,Excellent,Manual,8,gas,140000,Avg CC,17,0
2007,chevrolet,trail blazer = tbz,Excellent,Automatic,6,gas,145000,Low CC,36,0
2009,chevrolet,3500hd 3500,Excellent,Automatic,8,diesel,168000,Low CC,18,1
2013,ford,f-150,Excellent,Automatic,8,gas,149678,Low CC,34,0
2000,ford,ranger,Excellent,Automatic,6,gas,185893,Low CC,47,0
2012,buick,verano,Excellent,Automatic,4,gas,43000,Low CC,49,0
2013,ford,fiesta se,Excellent,Automatic,4,gas,93000,Low CC,6,0
2014,toyota,camry se,Excellent,Manual,4,gas,70003,High CC,12,0
2008,rover,lr2 hse,Excellent,Automatic,6,gas,137000,Avg CC,42,0
2003,kia,optima,salvage,Manual,6,gas,134762,Low CC,35,0
2017,chevrolet,cruze lt,Excellent,Manual,4,gas,28289,High CC,33,0
1988,pontiac,fiero formula,Excellent,Manual,6,gas,75500,High CC,26,0
2008,gmc,sierra 1500,Excellent,Manual,6,gas,98317,Avg CC,19,0
2013,hyundai,accent,Excellent,Manual,4,gas,50915,Avg CC,29,0
2015,bmw,x5,Excellent,Manual,6,gas,45237,Low CC,32,0
2008,audi,q7,Excellent,Automatic,6,gas,124550,Avg CC,20,0
2014,hyundai,accent,Excellent,Manual,4,gas,95021,High CC,27,0
2007,ford,f-150,Excellent,Automatic,8,gas,93000,Avg CC,33,0
2009,chevrolet,silverado 1500,Excellent,Automatic,8,gas,117004,High CC,23,0
2003,jeep,wrangler,Excellent,Automatic,6,gas,117713,High CC,37,0
1996,chevrolet,s10 pickup,Excellent,Automatic,4,gas,190019,Low CC,13,0
2012,ram,2500,Excellent,Automatic,6,gas,112064,Avg CC,28,1
2015,ford,f150,Excellent,Automatic,8,gas,77706,Low CC,44,0
2014,chevrolet,suburban,Excellent,Automatic,8,gas,80930,Avg CC,12,1
2014,chevrolet,silverado 1500,Excellent,Automatic,8,gas,48830,Avg CC,47,1
2013,ford,f-250 xlt,Excellent,Automatic,8,gas,144079,Low CC,23,0
2010,chevrolet,traverse,Excellent,Manual,6,gas,151234,Low CC,45,0
2014,fiat,500c,Excellent,Automatic,4,gas,87800,Avg CC,6,0
2013,chevrolet,silverado 3500hd,Excellent,Automatic,8,diesel,119446,Low CC,50,1
2017,dodge,challenger,Excellent,Automatic,6,gas,21240,Avg CC,25,0
2016,ford,fiesta,Excellent,Automatic,4,gas,22000,Low CC,38,0
2012,gmc,acadia,Excellent,Automatic,6,gas,125881,High CC,34,0
2009,toyota,camry,Excellent,Automatic,4,gas,177720,Avg CC,12,0
2016,mitsubishi,outlander gt,Excellent,Automatic,6,gas,59336,High CC,8,0
2012,chevrolet,silverado 1500 ls,Excellent,Automatic,8,gas,61746,Avg CC,28,0
2012,chevrolet,equinox,Excellent,Manual,4,gas,125383,Low CC,5,0
2012,subaru,outback,Excellent,Automatic,4,gas,46000,Low CC,20,0
2014,audi,allroad,Excellent,Manual,4,gas,58000,Low CC,7,0
2015,kia,optima lx,Excellent,Manual,4,gas,96288,Avg CC,6,0
2014,ford,econoline cargo van,Excellent,Automatic,8,gas,49081,Low CC,12,0
2012,chevrolet,impala,Excellent,Automatic,6,gas,80000,Avg CC,38,0
2015,jeep,patriot,Excellent,Manual,4,gas,102166,Low CC,36,0
2009,toyota,avalon xls,Excellent,Automatic,6,gas,103044,Avg CC,41,0
2016,ford,econoline,Excellent,Automatic,8,gas,47213,Avg CC,32,1
2014,toyota,tacoma 4 cylinder,Excellent,Automatic,4,gas,104887,Avg CC,33,0
2011,chevrolet,silverado 1500,Excellent,Automatic,8,gas,97276,Low CC,32,0
2017,ford,focus,Excellent,Manual,4,gas,16000,Avg CC,15,0
1997,ford,f-250,Excellent,Automatic,8,gas,175634,Low CC,36,0
2014,chevrolet,silverado 3500hd,Excellent,Manual,8,gas,51361,High CC,45,1
2010,ford,f-150,Excellent,Manual,8,gas,81605,Avg CC,21,0
2012,nissan,titan pro-4x,Excellent,Manual,8,gas,91312,Low CC,8,0
2007,toyota,sienna,Excellent,Manual,6,gas,147277,Low CC,23,0
2008,gmc,acadia,Excellent,Automatic,6,gas,209243,Avg CC,39,0
2006,toyota,camry solara convertible,Excellent,Manual,6,gas,109000,Low CC,34,0
2016,ford,super duty f-250,Excellent,Automatic,8,diesel,106096,High CC,14,1
2005,ford,explorer,salvage,Automatic,6,gas,133000,High CC,15,0
2015,chevrolet,silverado 3500hd,Excellent,Automatic,8,diesel,117726,Low CC,19,1
2012,chevrolet,camaro,Excellent,Manual,6,gas,57401,Low CC,28,0
2014,ford,escape se,Excellent,Automatic,4,gas,81450,Low CC,24,0
1979,ford,f-250,salvage,Automatic,8,gas,88220,Avg CC,33,0
2012,kia,optima ex,Excellent,Manual,4,gas,116,Avg CC,9,0
2010,nissan,sentra,Excellent,Automatic,4,gas,116575,Low CC,42,0
2002,mercedes-benz,sl500 silver arrow,Excellent,Automatic,8,gas,78000,Avg CC,12,0
2007,chevrolet,hhr,Excellent,Automatic,4,gas,131527,Avg CC,14,0
2008,jeep,grand cherokee laredo 4x4,Excellent,Automatic,6,gas,112470,Avg CC,37,0
2008,ford,explorer xlt,Excellent,Automatic,6,gas,136913,Low CC,44,0
2007,toyota,4runner,Excellent,Manual,6,gas,127307,Low CC,15,0
2008,nissan,titan,Excellent,Manual,8,gas,129636,Low CC,35,0
2010,dodge,gr caravan,Excellent,Manual,6,gas,66800,Low CC,35,0
2013,bmw,328 xi awd sedan,Excellent,Manual,4,gas,137024,Low CC,14,0
2016,volkswagen,passat se sedan 4d,Excellent,Automatic,4,gas,43000,Low CC,32,0
1996,dodge,dakota club cab,salvage,Manual,8,gas,176700,High CC,30,0
2014,nissan,altima s,Excellent,Automatic,4,gas,117770,Avg CC,10,0
1996,audi,cabriolet,Excellent,Automatic,6,gas,137000,Avg CC,46,0
2008,mercury,mariner,Excellent,Manual,6,gas,118509,Avg CC,24,0
2010,honda,odyssey exl,Excellent,Manual,6,gas,102759,High CC,49,0
2008,chevrolet,express cargo van,Excellent,Manual,8,gas,169472,Low CC,34,0
2010,chevrolet,equinox,Excellent,Automatic,4,gas,83000,Low CC,28,0
2013,jeep,wrangler unlimited sport,Excellent,Automatic,6,gas,94200,Avg CC,45,0
2019,ford,f-150,Excellent,Automatic,6,gas,2207,Low CC,24,1
2005,dodge,caravan,Excellent,Manual,6,gas,138362,Low CC,48,0
2016,mercedes-benz,cla 250 4matic,Excellent,Automatic,4,gas,13145,Low CC,25,0
2015,mercedes-benz,sprinter cargo vans,Excellent,Automatic,4,diesel,13337,Avg CC,44,1
2014,ford,expedition el,Excellent,Manual,8,gas,114324,Low CC,46,0
2007,ford,super duty f-350 srw,Excellent,Manual,8,diesel,98035,Low CC,12,0
2015,volvo,xc70,Excellent,Automatic,4,gas,97133,Low CC,38,0
1994,chevrolet,step side truck,Excellent,Manual,8,gas,100000,Low CC,14,0
2002,ford,explorer,Excellent,Manual,6,gas,154232,Avg CC,36,0
2012,subaru,forester xt,Excellent,Automatic,4,gas,124156,Low CC,11,0
1997,nissan,pathfinder,Excellent,Automatic,6,gas,189732,Avg CC,23,0
2019,ford,f-250 super duty,Excellent,Manual,8,gas,19750,High CC,35,1
2014,ford,f150 fx4,Excellent,Manual,6,gas,161000,Avg CC,30,0
2011,ford,f150 super cab long bed,Excellent,Automatic,8,gas,114788,Low CC,11,0
2007,dodge,nitro,Excellent,Automatic,6,gas,124400,Low CC,15,0
2004,chevrolet,tahoe,Excellent,Automatic,8,gas,130524,Avg CC,19,0
1999,toyota,celica,Excellent,Automatic,4,gas,132000,High CC,29,0
2013,nissan,maxima,Excellent,Manual,6,gas,98118,Low CC,32,0
2008,chevrolet,suburban lt 4x4,Excellent,Manual,8,gas,164450,Avg CC,10,0
2015,honda,civic,Excellent,Manual,4,gas,77000,Avg CC,14,0
1979,ford,ranger,Excellent,Automatic,8,gas,174219,Avg CC,25,0
2005,kia,sorrento lx automatic 4wd,Excellent,Automatic,6,gas,143000,High CC,24,0
2015,ford,lariet,Excellent,Automatic,8,gas,40365,High CC,25,1
2006,jeep,commander,Excellent,Manual,8,gas,170207,Low CC,50,0
2015,nissan,murano,Excellent,Manual,6,gas,73368,Low CC,5,0
2010,ford,f-150,Excellent,Automatic,8,gas,83296,High CC,21,0
2015,dodge,grand caravan,Excellent,Manual,6,gas,151528,Low CC,50,0
2013,ford,f-150,Excellent,Manual,8,gas,71662,High CC,40,0
2016,ford,transit wagon,Excellent,Automatic,6,gas,79000,Low CC,14,1
2010,honda,accord,Excellent,Manual,4,gas,102100,Low CC,25,0
2014,volvo,xc60,Excellent,Manual,6,gas,104075,Avg CC,12,0
2016,hyundai,elantra,Excellent,Manual,4,gas,92500,High CC,50,0
2012,ram,1500,Excellent,Manual,8,gas,64000,Low CC,31,0
2014,ford,focus,Excellent,Manual,4,gas,64739,Low CC,15,0
2018,volkswagen,jetta,Excellent,Automatic,4,gas,14882,High CC,8,0
2015,toyota,camry,Excellent,Automatic,4,gas,0,High CC,18,0
2002,dodge,dakota,salvage,Manual,8,gas,147000,Avg CC,45,0
2008,gmc,yukon denali xl awd very clean loaded suv,Excellent,Manual,8,gas,166918,Low CC,26,0
2012,ford,e-350,Excellent,Manual,8,gas,324572,Avg CC,33,0
2012,chevrolet,express,Excellent,Automatic,8,gas,187213,High CC,21,0
2014,volkswagen,jetta se,Excellent,Manual,4,gas,85949,High CC,37,0
2007,chevrolet,tahoe,Excellent,Automatic,8,gas,130000,Avg CC,29,0
1997,jaguar,xk8 convertible,Excellent,Manual,8,gas,91000,Avg CC,23,0
2010,ford,f-150,Excellent,Automatic,8,gas,133575,Avg CC,22,0
2001,chevrolet,corvette,Excellent,Automatic,8,gas,53433,High CC,25,0
2014,honda,odyssey,Excellent,Automatic,6,gas,95304,Low CC,36,0
2007,toyota,tacoma access cab 4wd,Excellent,Automatic,4,gas,114500,Avg CC,49,0
2004,ford,f150 4 wd,Excellent,Automatic,8,gas,169000,Avg CC,36,0
2011,gmc,yukon xl,Excellent,Automatic,8,gas,122570,Avg CC,8,0
2017,chrysler,pacifica,Excellent,Manual,6,gas,31365,Avg CC,36,0
2015,gmc,sierra 1500,Excellent,Manual,8,gas,26027,High CC,37,1
2011,gmc,terrain,Excellent,Manual,4,gas,127005,Avg CC,9,0
2010,honda,crosstour ex-l,Excellent,Automatic,6,gas,137000,Low CC,13,0
2006,buick,lucerne cxs,Excellent,Automatic,8,gas,149836,Low CC,46,0
2010,ram,2500,Excellent,Automatic,6,diesel,160252,Avg CC,30,0
2012,ram,2500,Excellent,Automatic,8,gas,118524,High CC,37,0
1992,jeep,cherokee sport,Excellent,Automatic,6,gas,105800,Avg CC,30,0
2004,toyota,sienna,Excellent,Automatic,6,gas,135391,Low CC,28,0
2006,ford,f-750,Excellent,Automatic,6,diesel,38178,Low CC,44,0
2014,honda,accord sport sedan,Excellent,Automatic,4,gas,10977,Avg CC,49,0
2013,toyota,rav-4 xle 4x4,Excellent,Automatic,4,gas,99468,Low CC,11,0
2001,ford,sport trac,Excellent,Manual,6,gas,190000,High CC,13,0
2011,ford,fusion,Excellent,Automatic,6,gas,143675,Low CC,25,0
2010,mazda,mazda3 i sport,Excellent,Manual,4,gas,137375,Low CC,44,0
2011,jeep,wrangler 2dr rubicon,Excellent,Manual,6,gas,101281,Avg CC,49,0
2010,chevrolet,traverse lt awd,Excellent,Automatic,6,gas,130476,Avg CC,30,0
1998,jeep,wrangler,salvage,Automatic,6,gas,168113,Avg CC,10,0
2009,toyota,corolla,Excellent,Manual,4,gas,109000,Avg CC,29,0
2002,ford,taurus,Excellent,Automatic,6,gas,133000,Avg CC,45,0
2013,chevrolet,express cargo van,Excellent,Automatic,8,gas,143197,Avg CC,46,0
2002,toyota,camry le,Excellent,Automatic,4,gas,150000,Low CC,23,0
2009,lincoln,navigator,Excellent,Manual,8,gas,130000,Avg CC,49,0
2001,ford,- f 250 super duty,Excellent,Automatic,8,diesel,188000,Low CC,20,0
2016,dodge,challenger,Excellent,Manual,8,gas,47766,Low CC,33,0
2013,ford,f150 fx4,Excellent,Automatic,6,gas,75000,Low CC,6,1
2014,ram,1500 longhorn hemi 4x4,Excellent,Automatic,8,gas,79100,Avg CC,5,0
2015,ram,2500 tradesman,Excellent,Automatic,8,gas,63899,Avg CC,36,1
2011,mercedes-benz,gl-class,Excellent,Automatic,6,diesel,97517,Low CC,45,0
2011,toyota,camry base 4dr sedan 6m,Excellent,Manual,4,gas,89515,Avg CC,41,0
2014,nissan,sentra,Excellent,Manual,4,gas,123135,Low CC,47,0
2014,toyota,tacoma 4 cylinder,Excellent,Manual,4,gas,104887,Avg CC,46,0
2005,chevrolet,equinox,Excellent,Manual,6,gas,179803,Avg CC,14,0
2008,ford,crown victoria,Excellent,Automatic,8,gas,96446,Low CC,14,0
2013,bmw,5 series 550i,Excellent,Manual,8,gas,72285,Avg CC,48,0
2015,ford,f150,Excellent,Automatic,8,gas,77706,Avg CC,43,0
2004,chevrolet,silverado ext cab ls,Excellent,Automatic,8,gas,257000,Avg CC,13,0
2003,mitsubishi,eclipse,Excellent,Manual,4,gas,119000,Avg CC,33,0
2013,chevrolet,tahoe ltz,Excellent,Manual,8,gas,86312,Low CC,44,1
2018,ford,f-150 f150 xlt,Excellent,Manual,6,gas,14334,Low CC,15,1
2005,dodge,dakota,Excellent,Automatic,6,gas,159609,High CC,7,0
2012,toyota,highlander,Excellent,Manual,6,gas,164112,Avg CC,17,0
1980,fiat,spider,Excellent,Manual,4,gas,53820,Avg CC,33,0
2006,nissan,murano sl,Excellent,Automatic,4,gas,179649,High CC,49,0
2005,chrysler,sebring convertible,Excellent,Automatic,6,gas,100144,Avg CC,33,0
2014,chevrolet,malibu ls,Excellent,Automatic,4,gas,116650,Avg CC,35,0
2010,ford,f150 platinum,Excellent,Automatic,8,gas,120000,Avg CC,20,0
2003,lexus,gx470 4wd suv,Excellent,Automatic,8,gas,182000,High CC,50,0
2012,mercedes-benz,cls550 4matic,Excellent,Manual,8,gas,72262,Avg CC,29,0
2000,toyota,rav-4,Excellent,Manual,4,gas,212000,High CC,39,0
2003,ford,excursion limited,Excellent,Automatic,8,diesel,142967,Low CC,22,0
2006,nissan,frontier,Excellent,Automatic,6,gas,111516,Low CC,5,0
2016,toyota,corolla,Excellent,Automatic,4,gas,26354,Avg CC,21,0
2000,hyundai,elantra,salvage,Manual,4,gas,111000,Low CC,39,0
2012,honda,civic sdn,Excellent,Automatic,4,gas,120791,Avg CC,21,0
2013,nissan,altima s,Excellent,Manual,4,gas,92011,Low CC,49,0
2009,honda,accord,Excellent,Manual,4,gas,120000,Low CC,42,0
2008,acura,tl,Excellent,Automatic,6,gas,134000,Avg CC,13,0
2016,jeep,patriot,Excellent,Automatic,4,gas,66000,Avg CC,22,0
2014,dodge,avenger,Excellent,Automatic,4,gas,70000,Low CC,9,0
2014,dodge,durango limited,Excellent,Manual,6,gas,77218,Avg CC,47,0
2018,chevrolet,suburban,Excellent,Automatic,8,gas,35172,Low CC,33,1
1984,nissan,4x4 king cab pickup,Excellent,Manual,4,gas,282575,Avg CC,28,0
2013,ram,2500,Excellent,Automatic,6,diesel,65278,Avg CC,22,1
2007,gmc,2500,Excellent,Automatic,8,diesel,198901,Low CC,17,0
2000,nissan,maxima se,Excellent,Manual,6,gas,264000,Low CC,14,0
2005,chevrolet,avalanche 1500 4wd v8,Excellent,Automatic,8,gas,149359,Low CC,28,0
1985,chevrolet,c-20,Excellent,Automatic,8,gas,109290,Low CC,46,0
2005,dodge,grand caravan,Excellent,Automatic,6,gas,168755,Low CC,8,0
1991,toyota,corolla,Excellent,Automatic,4,gas,140000,Avg CC,19,0
2014,volkswagen,jetta sportwagen,Excellent,Automatic,4,diesel,69369,Low CC,32,0
2007,saturn,aura xr,Excellent,Manual,6,gas,71482,Avg CC,21,0
2006,jeep,renegade,Excellent,Manual,6,gas,126020,Low CC,24,0
2014,ram,3500,Excellent,Automatic,6,diesel,193989,Avg CC,35,1
2018,ford,edge,Excellent,Manual,6,gas,18989,High CC,31,1
1998,volvo,c70,Excellent,Automatic,5,gas,203138,High CC,42,0
2010,chevrolet,impala lt,Excellent,Manual,6,gas,63000,Avg CC,42,0
2015,chrysler,200,Excellent,Automatic,4,gas,11490,Avg CC,10,0
2012,honda,fit,Excellent,Automatic,4,gas,137000,Avg CC,13,0
2016,jeep,patriot,Excellent,Automatic,4,gas,101173,High CC,14,0
2007,ford,f150 supercab xlt 4x4,Excellent,Manual,8,gas,127646,Avg CC,26,0
2012,ford,f-150,Excellent,Manual,6,gas,174209,Low CC,15,0
2016,toyota,camry le,Excellent,Automatic,4,gas,101958,Avg CC,5,0
2008,infiniti,ex35 journey awd,Excellent,Automatic,6,gas,129267,High CC,10,0
2012,ford,mustang,Excellent,Automatic,6,gas,101,Avg CC,35,0
2008,infiniti,ex35,Excellent,Automatic,6,gas,150000,Low CC,37,0
2014,nissan,pathfinder,Excellent,Automatic,6,gas,79000,Avg CC,42,0
2012,chevrolet,express 2500,Excellent,Automatic,8,gas,294337,Low CC,7,0
1996,ford,ranger,salvage,Automatic,6,gas,215082,Low CC,36,0
2012,dodge,avenger,Excellent,Automatic,4,gas,127773,Avg CC,16,0
2001,audi,allroad,Excellent,Manual,6,gas,107260,Avg CC,7,0
2009,audi,q5,Excellent,Automatic,6,gas,163159,Low CC,46,0
1999,toyota,tacoma,Excellent,Automatic,6,gas,155512,Low CC,41,0
1997,ford,e250,Excellent,Automatic,8,gas,155000,Avg CC,44,0
2011,ford,escape,Excellent,Automatic,6,gas,173000,Low CC,14,0
2015,audi,q7,Excellent,Manual,6,gas,69140,Low CC,25,1
2011,mini,countryman s,Excellent,Automatic,4,gas,65937,Avg CC,12,0
2005,ford,explorer xlt,Excellent,Automatic,6,gas,195972,Low CC,34,0
2001,ford,f150,salvage,Automatic,8,gas,275000,Avg CC,18,0
2009,kia,optima,Excellent,Automatic,4,gas,144181,Low CC,19,0
2017,hyundai,santa fe sport,Excellent,Automatic,4,gas,53043,Avg CC,10,0
2010,ford,edge sel,Excellent,Manual,6,gas,150000,High CC,13,0
2007,pontiac,g5,Excellent,Manual,4,gas,122000,Low CC,13,0
2016,rover,lr4,Excellent,Manual,6,gas,29035,Avg CC,35,1
2012,gmc,sierra 2500hd,Excellent,Automatic,8,diesel,176120,High CC,35,1
2009,nissan,pathfinder,Excellent,Automatic,6,gas,102099,Avg CC,15,0
2009,ford,f-150 lariat,Excellent,Automatic,8,diesel,157354,Avg CC,50,0
2005,ford,mustang,Excellent,Manual,6,gas,99000,Low CC,15,0
2014,chevrolet,silverado 2500hd,Excellent,Automatic,8,gas,67322,Avg CC,6,0
2010,buick,lacrosse,Excellent,Manual,6,gas,90000,Avg CC,28,0
2004,ford,f150,Excellent,Manual,8,gas,199259,Low CC,35,0
2013,honda,ridgeline,Excellent,Manual,6,gas,105828,Avg CC,20,0
2013,ford,f150,Excellent,Manual,6,gas,59369,Avg CC,6,1
2012,dodge,grand caravan sxt,Excellent,Manual,6,gas,93200,High CC,20,0
2003,buick,lesabre custom,Excellent,Automatic,6,gas,110237,Low CC,6,0
2005,ram,3500,Excellent,Manual,6,diesel,161638,Low CC,23,0
2006,gmc,c4c042,Excellent,Manual,6,diesel,43119,High CC,9,1
2018,toyota,corolla,Excellent,Manual,4,gas,31839,Avg CC,33,0
2004,ford,f-250 4wd diesel cheap priced to sell,Excellent,Automatic,8,diesel,304306,Avg CC,21,0
2008,ford,edge sel,Excellent,Automatic,6,gas,123937,Low CC,43,0
2002,pontiac,sunfire se,Excellent,Automatic,4,gas,174117,Low CC,10,0
2013,gmc,sierra 1500,Excellent,Automatic,8,gas,97930,Avg CC,20,0
2004,volvo,xc90 t6,Excellent,Manual,6,gas,159916,Low CC,28,0
1997,ford,97 expedition,salvage,Automatic,8,gas,160000,Avg CC,16,0
2013,ford,f350 super duty,Excellent,Manual,8,diesel,107171,Avg CC,38,1
1985,cadillac,eldorado,Excellent,Automatic,8,gas,154346,Avg CC,41,0
2015,kia,sorento ex,Excellent,Automatic,6,gas,104111,High CC,8,0
2007,cadillac,escalade,Excellent,Manual,8,gas,105164,Low CC,12,0
2012,jeep,liberty,Excellent,Automatic,6,gas,101954,Low CC,47,0
2007,toyota,sequoia,Excellent,Manual,8,gas,139763,Avg CC,50,0
2016,jeep,cherokee,Excellent,Automatic,4,gas,37614,Low CC,7,0
2008,toyota,fj cruiser,Excellent,Manual,6,gas,174089,Low CC,28,0
2003,ford,focus,Excellent,Automatic,4,gas,181000,Low CC,48,0
2006,jeep,commander ltd 4x4 5.7l,Excellent,Manual,8,gas,197000,Low CC,44,0
2010,ford,f-250 sd,Excellent,Manual,8,gas,78352,Low CC,36,0
2016,toyota,camry se,Excellent,Manual,4,gas,36548,Low CC,41,0
2017,chevrolet,silverado,Excellent,Automatic,8,gas,38140,Avg CC,32,1
2009,kia,rio,Excellent,Manual,4,gas,72123,Low CC,35,0
2010,toyota,camry,Excellent,Automatic,4,gas,153055,Low CC,14,0
2005,mercedes-benz,c230,Excellent,Automatic,4,gas,132296,Low CC,43,0
2010,honda,cr-v ex-l,Excellent,Manual,4,gas,138070,Low CC,12,0
2014,dodge,journey,Excellent,Manual,6,gas,110734,Low CC,22,0
2007,jeep,wrangler unlimited,Excellent,Automatic,6,gas,141700,High CC,33,0
1995,toyota,camry,Excellent,Manual,6,gas,177200,Low CC,14,0
2015,fiat,500,Excellent,Manual,4,gas,65600,High CC,44,0
2002,chevrolet,monte carlo,Excellent,Manual,6,gas,124001,Avg CC,26,0
1973,mercedes-benz,280sel 4.5 1973,Excellent,Automatic,8,gas,91000,Low CC,34,0
2005,ford,f250,Excellent,Automatic,8,diesel,264000,Avg CC,15,0
2003,jeep,wrangler,Excellent,Manual,6,gas,95839,Low CC,9,0
2009,chevrolet,impala,Excellent,Automatic,6,gas,132000,Avg CC,19,0
2015,ford,f-250 sd,Excellent,Manual,8,gas,94576,Avg CC,5,0
2010,ford,f-150 xlt,Excellent,Automatic,8,gas,179755,High CC,46,0
1997,mercedes-benz,benz e320,Excellent,Automatic,6,gas,240000,High CC,46,0
2000,honda,accord,salvage,Automatic,6,gas,170797,Low CC,25,0
2011,gmc,acadia,Excellent,Automatic,6,gas,119765,Avg CC,18,0
2011,hyundai,sonata gls sedan,Excellent,Manual,4,gas,124386,Low CC,43,0
2011,lincoln,mkz,Excellent,Automatic,6,gas,52980,Low CC,47,0
2011,gmc,sierra 1500,Excellent,Manual,6,gas,89532,Avg CC,13,0
2018,chevrolet,sonic,Excellent,Automatic,4,gas,23054,Avg CC,9,0
1979,ford,ranchero 500,Excellent,Manual,8,gas,77007,Avg CC,24,0
2013,ram,1500,Excellent,Automatic,8,gas,114115,Low CC,22,0
2013,chevrolet,silverado 2500hd,Excellent,Automatic,8,diesel,76105,High CC,32,1
2013,honda,pilot 4wd,Excellent,Automatic,6,gas,115019,Low CC,28,0
2017,jeep,wrangler,Excellent,Manual,6,gas,21500,Low CC,39,1
2008,honda,accord ex-l,Excellent,Manual,6,gas,145150,Avg CC,36,0
2001,chevrolet,silverado lt,Excellent,Automatic,8,gas,86000,Avg CC,31,0
2015,gmc,sierra k1500 slt,Excellent,Automatic,8,gas,138306,High CC,35,1
2009,pontiac,g8,Excellent,Manual,6,gas,71529,Low CC,15,0
2006,dodge,caravan,Excellent,Manual,6,gas,169071,High CC,16,0
2005,lexus,rx 330,Excellent,Manual,6,gas,128812,High CC,9,0
2005,honda,accord,Excellent,Automatic,6,gas,216000,Low CC,21,0
2008,bmw,335i convertible,Excellent,Automatic,6,gas,84700,Low CC,14,0
2008,gmc,acadia,Excellent,Manual,6,gas,106000,High CC,23,0
2017,mazda,6,Excellent,Manual,4,gas,35200,Avg CC,49,0
2001,chevrolet,silverado 3500,salvage,Manual,8,diesel,350000,Avg CC,20,0
2007,cadillac,escalade,Excellent,Automatic,8,gas,111803,Avg CC,34,0
2015,audi,q5 tdi,Excellent,Manual,6,diesel,67000,Low CC,18,0
2016,bmw,328i,Excellent,Manual,4,gas,22988,High CC,46,0
1995,ford,bronco,Excellent,Manual,8,gas,146009,High CC,47,0
1990,dodge,w250 cummins,Excellent,Manual,6,diesel,117000,Low CC,8,0
1985,jeep,grand wagoneer,Excellent,Automatic,8,gas,200000,Low CC,45,0
2013,mini,cooper coupe,Excellent,Manual,4,gas,32000,Low CC,49,0
2011,ram,2500 cummins,Excellent,Automatic,6,diesel,208434,Low CC,39,0
1967,chevrolet,impala wagon,Excellent,Manual,8,gas,163000,Avg CC,48,0
2016,ford,mustang gt,Excellent,Automatic,8,gas,87966,High CC,23,0
1999,toyota,camry solara,Excellent,Automatic,6,gas,167935,High CC,31,0
2008,mazda,cx9,Excellent,Manual,6,gas,158900,Low CC,7,0
2015,dodge,challenger,Excellent,Manual,8,gas,135663,Low CC,48,0
